City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Bonito,BR,2020-08-20 03:31:54,-21.12,-56.48,61.75,92,100,9.69
136,Mount Vernon,US,2020-08-20 03:31:54,40.91,-73.84,71.6,78,40,11.41
137,Pointe Michel,DM,2020-08-20 03:31:54,15.25,-61.38,81.18,80,8,10.49
138,Grindavik,IS,2020-08-20 03:31:54,63.84,-22.43,46.4,100,90,5.82
139,Arona,ES,2020-08-20 03:31:55,28.1,-16.68,73.0,77,0,2.24
140,Sao Felix Do Xingu,BR,2020-08-20 03:31:55,-6.64,-51.99,74.07,52,4,1.28
141,Long Beach,US,2020-08-20 03:29:08,33.77,-118.19,82.0,54,1,4.7
142,Sabla,NG,2020-08-20 03:31:55,12.75,4.71,77.7,84,75,2.19
143,Irgakly,RU,2020-08-20 03:31:56,44.36,44.76,70.0,68,0,4.92
144,Nabinagar,BD,2020-08-20 03:31:41,23.89,90.97,82.4,83,75,3.36
145,Sao Miguel Do Araguaia,BR,2020-08-20 03:31:56,-13.28,-50.16,76.51,35,0,4.5
146,Hatta,IN,2020-08-20 03:31:56,24.12,79.6,86.5,71,80,6.55
147,Qaqortoq,GL,2020-08-20 03:31:57,60.72,-46.03,50.0,66,9,4.7
148,Quatre Cocos,MU,2020-08-20 03:31:57,-20.21,57.76,68.0,82,75,4.7
149,Tazovskiy,RU,2020-08-20 03:31:58,67.47,78.7,59.72,83,89,10.69
150,Guasdualito,VE,2020-08-20 03:31:58,7.24,-70.73,74.59,93,100,2.26
151,Ilo,PE,2020-08-20 03:31:43,-17.64,-71.34,58.06,81,84,9.82
152,Alta Floresta,BR,2020-08-20 03:31:58,-9.88,-56.09,74.75,31,0,1.36
153,Mandera,KE,2020-08-20 03:31:58,3.94,41.87,76.57,71,99,12.24
154,Maine-Soroa,NE,2020-08-20 03:31:59,13.21,12.02,81.48,66,100,15.59
155,Cabildo,AR,2020-08-20 03:31:59,-38.48,-61.9,32.0,92,7,8.03
156,Cockburn Town,TC,2020-08-20 03:31:59,21.46,-71.14,83.17,83,0,20.98
157,Anloga,GH,2020-08-20 03:32:00,5.79,0.9,77.0,83,75,14.99
158,Makaryev,RU,2020-08-20 03:32:00,57.88,43.81,47.97,70,0,5.44
159,Adrar,MR,2020-08-20 03:32:00,20.5,-10.07,91.44,38,8,11.56
160,Iqaluit,CA,2020-08-20 03:32:00,63.75,-68.51,44.6,93,90,8.05
161,Iisaku,EE,2020-08-20 03:32:01,59.1,27.31,59.34,77,0,5.82
162,Butembo,CD,2020-08-20 03:32:01,0.15,29.28,59.77,100,100,0.94
163,Sao Gabriel,BR,2020-08-20 03:32:01,-30.34,-54.32,42.76,64,87,9.24
164,Bandarbeyla,SO,2020-08-20 03:32:02,9.49,50.81,80.13,68,0,26.71
165,San Cristobal,VE,2020-08-20 03:32:02,7.77,-72.22,66.25,91,89,1.68
166,East Massapequa,US,2020-08-20 03:32:02,40.67,-73.44,68.0,88,20,4.7
167,Saldanha,ZA,2020-08-20 03:32:03,-33.01,17.94,44.6,81,71,5.53
168,Omboue,GA,2020-08-20 03:32:03,-1.57,9.26,72.88,86,100,10.6
169,Karpathos,GR,2020-08-20 03:32:03,35.51,27.21,77.0,69,0,21.92
170,Coquimbo,CL,2020-08-20 03:32:03,-29.95,-71.34,48.2,87,0,6.93
171,Rawson,AR,2020-08-20 03:27:44,-43.3,-65.1,42.69,59,0,11.56
172,Saint-Francois,FR,2020-08-20 03:32:04,46.42,3.91,62.01,87,0,3.36
173,Lagoa,PT,2020-08-20 03:32:04,39.05,-27.98,69.22,70,69,20.33
174,Piet Retief,ZA,2020-08-20 03:32:04,-27.01,30.81,35.02,95,45,2.44
175,Boa Vista,BR,2020-08-20 03:32:05,2.82,-60.67,82.4,74,100,3.36
176,Ravar,IR,2020-08-20 03:32:05,31.27,56.81,85.91,14,76,2.15
177,Ust-Kulom,RU,2020-08-20 03:32:05,61.69,53.69,54.7,92,100,8.97
178,Vila Do Maio,CV,2020-08-20 03:32:05,15.13,-23.22,78.8,74,40,5.82
179,Ust-Tsilma,RU,2020-08-20 03:32:05,65.44,52.15,55.98,89,100,8.32
180,Andenes,NO,2020-08-20 03:32:06,69.31,16.12,44.6,87,57,3.36
181,Souillac,MU,2020-08-20 03:32:06,-20.52,57.52,68.0,82,75,4.7
182,Torbat-E Jam,IR,2020-08-20 03:32:06,35.24,60.62,77.72,18,0,6.31
183,Marzuq,YE,2020-08-20 03:32:06,14.4,46.47,77.99,56,21,7.38
184,Wajir,KE,2020-08-20 03:32:07,1.75,40.06,71.83,81,47,10.2
185,General Pico,AR,2020-08-20 03:32:07,-35.66,-63.76,33.17,88,0,4.85
186,Mana,GF,2020-08-20 03:32:08,5.66,-53.78,78.33,84,70,8.9
187,Nuuk,GL,2020-08-20 03:32:08,64.18,-51.72,46.4,70,0,6.93
188,Port Shepstone,ZA,2020-08-20 03:32:09,-30.74,30.45,50.88,59,0,9.62
189,Nosy Varika,MG,2020-08-20 03:32:09,-20.58,48.53,67.37,84,1,5.95
190,Abu Dhabi,AE,2020-08-20 03:30:47,24.47,54.37,93.2,84,20,3.36
191,Aleksandrov Gay,RU,2020-08-20 03:32:10,50.15,48.57,63.86,49,88,11.77
192,Kiruna,SE,2020-08-20 03:32:10,67.86,20.23,37.4,100,70,3.36
193,Halifax,CA,2020-08-20 03:30:55,44.65,-63.57,66.0,52,81,1.01
194,Saint-Pierre,RE,2020-08-20 03:32:10,-21.34,55.48,69.01,64,90,4.7
195,Chikola,RU,2020-08-20 03:32:11,43.19,43.92,64.0,72,0,2.24
196,Bolu,TR,2020-08-20 03:32:11,40.67,31.58,61.48,70,0,2.51
197,Tarko-Sale,RU,2020-08-20 03:32:11,64.92,77.78,66.99,82,0,9.26
198,Nicoya,CR,2020-08-20 03:32:12,10.15,-85.45,75.07,94,100,3.15
199,Puerto Suarez,BO,2020-08-20 03:32:12,-18.95,-57.8,68.56,79,83,6.91
200,Wenchi,GH,2020-08-20 03:32:12,7.74,-2.1,71.11,88,96,8.43
201,Bengkulu,ID,2020-08-20 03:32:13,-3.8,102.27,86.67,59,100,5.14
202,Lalibela,ET,2020-08-20 03:32:13,12.03,39.03,60.06,83,100,2.55
203,Louis Trichardt,ZA,2020-08-20 03:32:13,-23.04,29.9,47.93,81,47,10.78
204,Hobyo,SO,2020-08-20 03:32:14,5.35,48.53,77.67,79,78,17.18
205,Ngama,TD,2020-08-20 03:32:14,11.78,17.17,71.62,92,100,14.18
206,Sistranda,NO,2020-08-20 03:32:14,63.73,8.83,55.4,100,75,4.7
207,Balkhash,KZ,2020-08-20 03:32:14,46.84,74.98,71.6,29,38,4.47
208,Mahebourg,MU,2020-08-20 03:32:15,-20.41,57.7,68.0,82,75,4.7
209,Dusti,TJ,2020-08-20 03:32:15,37.35,68.66,77.0,41,40,2.24
210,Orsk,RU,2020-08-20 03:32:15,51.2,58.57,55.4,62,0,13.42
211,Neya,RU,2020-08-20 03:32:15,58.3,43.87,48.24,70,0,5.57
212,Kathu,TH,2020-08-20 03:32:16,7.92,98.33,87.01,70,40,4.7
213,Constantine,DZ,2020-08-20 03:32:16,36.37,6.61,71.6,49,20,2.24
214,Niquelandia,BR,2020-08-20 03:32:16,-14.47,-48.46,76.1,37,30,2.57
215,Terekli-Mekteb,RU,2020-08-20 03:32:17,44.17,45.87,71.55,70,0,8.5
216,Thompson,CA,2020-08-20 03:32:17,55.74,-97.86,64.4,72,75,3.36
217,Gamba,GA,2020-08-20 03:32:17,-2.65,10.0,71.82,89,100,8.79
218,Sumbe,AO,2020-08-20 03:32:17,-11.21,13.84,69.87,91,97,1.54
219,Bom Jardim,BR,2020-08-20 03:32:18,-7.8,-35.59,62.8,98,75,3.18
220,Faya,SA,2020-08-20 03:32:18,18.39,42.45,69.8,59,69,4.99
221,Santa Rosa De Viterbo,BR,2020-08-20 03:32:18,-21.47,-47.36,71.6,73,24,10.29
222,Priladozhskiy,RU,2020-08-20 03:32:18,59.85,31.48,52.0,84,0,5.26
223,Torquay,GB,2020-08-20 03:32:18,50.46,-3.51,61.0,87,23,17.27
224,Lima,PE,2020-08-20 03:28:18,-12.04,-77.03,60.8,82,90,9.17
225,Margate,GB,2020-08-20 03:32:19,51.38,1.39,69.01,85,97,4.0
226,Samarkand,UZ,2020-08-20 03:32:19,39.65,66.96,73.4,46,0,6.93
227,Koslan,RU,2020-08-20 03:32:19,63.46,48.9,50.31,91,100,10.0
228,Puerto Carreno,CO,2020-08-20 03:32:20,6.19,-67.49,76.93,92,100,2.8
229,Mehamn,NO,2020-08-20 03:32:20,71.04,27.85,51.8,76,75,5.82
230,Jijiga,ET,2020-08-20 03:32:20,9.35,42.8,61.99,87,96,18.03
231,Viedma,AR,2020-08-20 03:32:20,-40.81,-63.0,34.9,75,0,8.08
232,Xai-Xai,MZ,2020-08-20 03:32:21,-25.05,33.64,61.9,81,21,7.05
